word,afinn_score,bing_sentiment,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
absentee,-1,negative,NA,NA,NA,NA,NA,negative,NA,sadness,NA,NA
abuse,-3,negative,anger,NA,disgust,fear,NA,negative,NA,sadness,NA,NA
accidental,-2,negative,NA,NA,NA,fear,NA,negative,NA,NA,surprise,NA
accomplish,2,positive,NA,NA,NA,NA,joy,NA,positive,NA,NA,NA
accomplished,2,positive,NA,NA,NA,NA,joy,NA,positive,NA,NA,NA
accusation,-2,negative,anger,NA,disgust,NA,NA,negative,NA,NA,NA,NA
accusing,-2,negative,anger,NA,NA,fear,NA,negative,NA,NA,NA,NA
ache,-2,negative,NA,NA,NA,NA,NA,negative,NA,sadness,NA,NA
aching,-2,negative,NA,NA,NA,NA,NA,negative,NA,sadness,NA,NA
admire,3,positive,NA,NA,NA,NA,NA,NA,positive,NA,NA,trust
adorable,3,positive,NA,NA,NA,NA,joy,NA,positive,NA,NA,NA
adore,3,positive,NA,anticipation,NA,NA,joy,NA,positive,NA,NA,trust
advanced,1,positive,NA,NA,NA,NA,NA,NA,positive,NA,NA,NA
advantage,2,positive,NA,NA,NA,NA,NA,NA,positive,NA,NA,NA
adventurous,2,positive,NA,NA,NA,NA,NA,NA,positive,NA,NA,NA
affection,3,positive,NA,NA,NA,NA,joy,NA,positive,NA,NA,trust
afraid,-2,negative,NA,NA,NA,fear,NA,negative,NA,NA,NA,NA
aggravating,-2,negative,anger,NA,NA,NA,NA,negative,NA,sadness,NA,NA
aggression,-2,negative,anger,NA,NA,fear,NA,negative,NA,NA,NA,NA
aggressive,-2,negative,anger,NA,NA,fear,NA,negative,NA,NA,NA,NA
aghast,-2,negative,NA,NA,disgust,fear,NA,negative,NA,NA,surprise,NA
agonizing,-3,negative,NA,NA,NA,fear,NA,negative,NA,NA,NA,NA
agreeable,2,positive,NA,NA,NA,NA,NA,NA,positive,NA,NA,trust
alarm,-2,negative,NA,NA,NA,fear,NA,negative,NA,NA,surprise,NA
alienation,-2,negative,anger,NA,disgust,fear,NA,negative,NA,sadness,NA,NA
amaze,2,positive,NA,NA,NA,NA,NA,NA,NA,NA,surprise,NA
amuse,3,positive,NA,NA,NA,NA,joy,NA,positive,NA,NA,NA
anger,-3,negative,anger,NA,NA,NA,NA,negative,NA,NA,NA,NA
angry,-3,negative,anger,NA,disgust,NA,NA,negative,NA,NA,NA,NA
anguish,-3,negative,anger,NA,NA,fear,NA,negative,NA,sadness,NA,NA
animosity,-2,negative,anger,NA,disgust,fear,NA,negative,NA,sadness,NA,NA
annoy,-2,negative,anger,NA,disgust,NA,NA,negative,NA,NA,NA,NA
annoyance,-2,negative,anger,NA,disgust,NA,NA,negative,NA,NA,NA,NA
annoying,-2,negative,anger,NA,NA,NA,NA,negative,NA,NA,NA,NA
antagonistic,-2,negative,anger,NA,disgust,NA,NA,negative,NA,NA,NA,NA
anxiety,-2,negative,anger,anticipation,NA,fear,NA,negative,NA,sadness,NA,NA
anxious,-2,negative,NA,anticipation,NA,fear,NA,negative,NA,NA,NA,NA
apathetic,-3,negative,NA,NA,NA,NA,NA,negative,NA,sadness,NA,NA
